category,category_label,amp,amp_volt,wind,wind_label,n,n_freqs,ka_min,ka_max,Kt_mean,Kt_std,slope_dKt_dka,R2
below_loose300_full,"Under, loose300, full panel",A1,0.1,no,uten,13,4,0.04974328042427344,0.0739255249406703,0.5612581936830684,0.12490024873059974,-12.778911732441054,0.9842501010333471
below_loose300_full,"Under, loose300, full panel",A1,0.1,full,full,13,5,0.050504516452524566,0.09686165650785963,0.6874829465965058,0.08247374072517798,-4.713166230629164,0.8850407030934425
below_loose300_full,"Under, loose300, full panel",A2,0.2,no,uten,9,5,0.09961648641024114,0.15369508032320195,0.6186019714355758,0.14256318634130835,-6.6911689741355564,0.9754944922616592
below_loose300_full,"Under, loose300, full panel",A2,0.2,full,full,13,9,0.032695761787163734,0.158260381809266,0.8136454930770941,0.11384109882114683,-2.594512033930198,0.9538036334576505
below_loose300_full,"Under, loose300, full panel",A3,0.3,no,uten,9,4,0.14610923829469358,0.2169584394798899,0.6436691507244708,0.12095327597086113,-4.352014407069025,0.9932939481999481
below_loose300_full,"Under, loose300, full panel",A3,0.3,full,full,13,5,0.1464212411447636,0.26930726974500135,0.7541264441487949,0.05699196589004883,-1.478499041142469,0.9477047987936725
below_loose230_full,"Under, loose230, full panel",A1,0.1,no,uten,34,5,0.049011323725738104,0.08123601516575263,0.5241648087574181,0.14883340394984776,-13.319803478443989,0.9449983084356809
below_loose230_full,"Under, loose230, full panel",A1,0.1,full,full,29,12,0.008218167374954868,0.09733996253475985,0.7720441392153808,0.12763810858472405,-4.952529323499943,0.835313042753848
below_loose230_full,"Under, loose230, full panel",A2,0.2,no,uten,25,10,0.03309527965522212,0.15879423136379792,0.7124493196951833,0.15754906719183184,-4.553598049915172,0.892012806848433
below_loose230_full,"Under, loose230, full panel",A2,0.2,full,full,30,10,0.032986199592490925,0.18843332336467286,0.7569862357122106,0.1147040171149539,-2.6847768991281358,0.9421103878774816
below_loose230_full,"Under, loose230, full panel",A3,0.3,no,uten,14,6,0.08573006514034294,0.2396300675290195,0.6376843168465144,0.1333605562317248,-3.4854729502448545,0.9517639882441961
below_loose230_full,"Under, loose230, full panel",A3,0.3,full,full,12,6,0.15404411660283174,0.31815277442743956,0.7171744706090267,0.06682899406793064,-1.3303141240481298,0.9723834097633977
